id,name,quarter,avg_d,avg_u,avg_l
MK,Severna Makedonija,2019-04-01,22.21,10.93,27.04
MK,Severna Makedonija,2019-07-01,21.96,10.85,28.46
MK,Severna Makedonija,2019-10-01,22.88,11.56,25.35
MK,Severna Makedonija,2020-01-01,22.81,12.23,25.32
MK,Severna Makedonija,2020-04-01,23.93,12.99,22.49
MK,Severna Makedonija,2020-07-01,25.03,14.12,20.6
MK,Severna Makedonija,2020-10-01,24.85,14.44,22.68
MK,Severna Makedonija,2021-01-01,25.68,14.67,20.62
MK,Severna Makedonija,2021-04-01,29.82,17.21,17.87
MK,Severna Makedonija,2021-07-01,30.95,18.14,17.53
MK,Severna Makedonija,2021-10-01,33.2,19.4,17.04
MK,Severna Makedonija,2022-01-01,33.18,19.78,17.28
MT,Malta,2019-01-01,70.19,11.7,14.48
MT,Malta,2019-04-01,67.07,11.89,13.75
MT,Malta,2019-07-01,76.63,13.56,12.65
MT,Malta,2019-10-01,76.67,13.72,11.78
MT,Malta,2020-01-01,80.88,13.6,11.95
MT,Malta,2020-04-01,88.33,13.79,10.92
MT,Malta,2020-07-01,88.16,14.06,10.94
MT,Malta,2020-10-01,97.54,15.1,10.91
MT,Malta,2021-01-01,115.69,17.26,10.43
MT,Malta,2021-04-01,117.04,17.71,10.07
MT,Malta,2021-07-01,112.36,18.53,10.33
MT,Malta,2021-10-01,135.22,21.23,9.65
MT,Malta,2022-01-01,144.98,24.44,9.6
NL,Nederland,2019-01-01,83.39,38.87,13.74
NL,Nederland,2019-04-01,93.21,37.62,14.07
NL,Nederland,2019-07-01,91.33,42.78,12.75
NL,Nederland,2019-10-01,94.9,49.18,11.41
NL,Nederland,2020-01-01,99.07,54.71,10.82
NL,Nederland,2020-04-01,100.72,58.08,11.09
NL,Nederland,2020-07-01,102.29,61.4,11.16
NL,Nederland,2020-10-01,112.7,66.22,10.67
NL,Nederland,2021-01-01,120.38,70.98,10.7
NL,Nederland,2021-04-01,134.7,65.57,11.21
NL,Nederland,2021-07-01,135.64,73.42,11.04
NL,Nederland,2021-10-01,147.44,83.75,10.99
NL,Nederland,2022-01-01,153.32,93.56,10.44
NO,Norge,2019-01-01,92.42,69.52,18.06
NO,Norge,2019-04-01,94.39,71.46,18.35
NO,Norge,2019-07-01,99.29,77.9,15.22
NO,Norge,2019-10-01,109.63,87.35,13.99
NO,Norge,2020-01-01,108.47,90.23,12.99
NO,Norge,2020-04-01,113.91,93.24,12.01
NO,Norge,2020-07-01,116.22,94.87,11.88
NO,Norge,2020-10-01,130.39,106.8,10.42
NO,Norge,2021-01-01,133.61,109.93,11.45
NO,Norge,2021-04-01,144.33,112.4,11.26
NO,Norge,2021-07-01,143.48,114.96,11.01
NO,Norge,2021-10-01,156.98,127.85,10.53
NO,Norge,2022-01-01,163.66,135.15,10.29
PL,Polska,2019-01-01,55.08,19.81,31
PL,Polska,2019-04-01,56.81,20.18,32.58
PL,Polska,2019-07-01,68.94,24.79,23.23
PL,Polska,2019-10-01,73.81,27.39,19.17
PL,Polska,2020-01-01,77.37,29.83,19.13
PL,Polska,2020-04-01,82.2,32.22,19.9
PL,Polska,2020-07-01,83.51,33.87,19.94
PL,Polska,2020-10-01,90.37,37.36,18.63
PL,Polska,2021-01-01,104.35,40.67,17.56
PL,Polska,2021-04-01,120.44,45.02,16.48
PL,Polska,2021-07-01,128.16,49.29,16.51
PL,Polska,2021-10-01,142.39,54.88,14.98
PL,Polska,2022-01-01,148.73,57.14,14.93
PT,Portugal,2019-01-01,67.14,40.61,18.75
PT,Portugal,2019-04-01,68.41,41.29,18.55
PT,Portugal,2019-07-01,76.24,42.7,18.27
PT,Portugal,2019-10-01,84.89,46.76,13.93
PT,Portugal,2020-01-01,87.53,43.85,13.88
PT,Portugal,2020-04-01,85.82,42.76,15.3
PT,Portugal,2020-07-01,90.16,45.3,16.28
PT,Portugal,2020-10-01,108.04,53.28,13.54
PT,Portugal,2021-01-01,118.28,56.01,13.29
PT,Portugal,2021-04-01,127.01,57.81,12.83
PT,Portugal,2021-07-01,122.1,54.31,15.73
PT,Portugal,2021-10-01,142.88,61.5,12.5
PT,Portugal,2022-01-01,162.21,70.53,10.79
RO,România,2019-01-01,85.92,69.61,14.54
RO,România,2019-04-01,86.03,65.55,16.64
RO,România,2019-07-01,88.05,70.29,12.15
RO,România,2019-10-01,95.02,79.68,10.68
RO,România,2020-01-01,98.34,83.68,10.31
RO,România,2020-04-01,105.23,89.68,9.86
RO,România,2020-07-01,105.06,91.38,10.07
RO,România,2020-10-01,122.58,104.32,9.31
RO,România,2021-01-01,139.52,116.44,8.2
RO,România,2021-04-01,157.76,125.72,8.14
RO,România,2021-07-01,157.07,127.72,8.47
RO,România,2021-10-01,177.41,150.84,7.71
RO,România,2022-01-01,184.13,155.54,7.94
RS,Serbia,2019-01-01,35.75,7.84,21.17
RS,Serbia,2019-04-01,39.2,9.42,19.09
RS,Serbia,2019-07-01,39.71,10.16,17.67
RS,Serbia,2019-10-01,40.09,11.17,15.84
RS,Serbia,2020-01-01,41.65,11.78,15.74
RS,Serbia,2020-04-01,48.44,14.5,14.61
RS,Serbia,2020-07-01,49.59,15.1,14.12
RS,Serbia,2020-10-01,52.42,16.16,14.1
RS,Serbia,2021-01-01,56.38,17.36,13.43
RS,Serbia,2021-04-01,62.93,19.47,12.78
RS,Serbia,2021-07-01,61.84,19.27,13.59
RS,Serbia,2021-10-01,70.62,21.87,13.02
RS,Serbia,2022-01-01,72.02,22.9,13.22
SE,Sverige,2019-01-01,84.66,56.23,18.21
SE,Sverige,2019-04-01,82.96,56.71,18.3
SE,Sverige,2019-07-01,89.96,64.73,13.98
SE,Sverige,2019-10-01,98.68,76.7,12.85
SE,Sverige,2020-01-01,103.6,85.15,11.91
SE,Sverige,2020-04-01,112.17,89.96,11.8
SE,Sverige,2020-07-01,110.96,87.1,12.19
SE,Sverige,2020-10-01,123.24,98.11,11.21
SE,Sverige,2021-01-01,132.22,108.19,10.9
SE,Sverige,2021-04-01,140.62,108.53,11.6
SE,Sverige,2021-07-01,135.38,107.53,12.35
SE,Sverige,2021-10-01,151.08,119.29,12.11
SE,Sverige,2022-01-01,159.22,127.87,11.2
SI,Slovenija,2019-01-01,40.02,14.91,19.01
SI,Slovenija,2019-04-01,43.35,15.98,19.24
SI,Slovenija,2019-07-01,43.88,16.54,17.83
SI,Slovenija,2019-10-01,47.12,17.43,15.91
SI,Slovenija,2020-01-01,49.87,17.73,15.25
SI,Slovenija,2020-04-01,54.54,19.06,14.89
SI,Slovenija,2020-07-01,57.24,20.78,13.16
SI,Slovenija,2020-10-01,66.43,28.8,13.03
SI,Slovenija,2021-01-01,74.23,34.02,12.22
SI,Slovenija,2021-04-01,83,36.78,12.8
SI,Slovenija,2021-07-01,81.63,35.98,11.99
SI,Slovenija,2021-10-01,90.83,38.37,11.84
SI,Slovenija,2022-01-01,92.48,38.18,11.95
SK,Slovensko,2019-01-01,42.64,15.59,25.09
SK,Slovensko,2019-04-01,42.46,15.87,25.39
SK,Slovensko,2019-07-01,43.08,17.01,23.86
SK,Slovensko,2019-10-01,49.52,19.15,19.91
SK,Slovensko,2020-01-01,48.89,19.67,19.79
SK,Slovensko,2020-04-01,53.82,23.12,19.08
SK,Slovensko,2020-07-01,54.53,23.63,18.49
SK,Slovensko,2020-10-01,60.58,25.74,17.66
SK,Slovensko,2021-01-01,66.75,27.72,16.4
SK,Slovensko,2021-04-01,80.49,30.14,15.74
SK,Slovensko,2021-07-01,82.24,30.68,15.47
SK,Slovensko,2021-10-01,95.94,37.77,14.62
SK,Slovensko,2022-01-01,99.62,38.99,15.19
TR,Türkiye,2019-01-01,20.8,4.24,26.36
TR,Türkiye,2019-04-01,20.55,4.99,28.08
TR,Türkiye,2019-07-01,20.2,4.88,27.84
TR,Türkiye,2019-10-01,21.81,4.62,24.31
TR,Türkiye,2020-01-01,21.89,4.1,23.85
TR,Türkiye,2020-04-01,23.43,6.77,22.75
TR,Türkiye,2020-07-01,22.43,4.99,23.42
TR,Türkiye,2020-10-01,24.17,5.56,21.54
TR,Türkiye,2021-01-01,26.27,5.94,18.93
TR,Türkiye,2021-04-01,31.92,6.71,18.72
TR,Türkiye,2021-07-01,33.2,8.59,18.75
TR,Türkiye,2021-10-01,38.21,9.64,16.56
TR,Türkiye,2022-01-01,40.44,9.94,16.12
UK,United Kingdom,2019-01-01,52.13,12.02,23.68
UK,United Kingdom,2019-04-01,55.81,12.89,24.84
UK,United Kingdom,2019-07-01,59.64,14.53,22.75
UK,United Kingdom,2019-10-01,61.27,15.45,21.02
UK,United Kingdom,2020-01-01,62.35,16.05,20.57
UK,United Kingdom,2020-04-01,64.77,16.39,20.95
UK,United Kingdom,2020-07-01,65.69,17.45,20.19
UK,United Kingdom,2020-10-01,72.52,19.33,18.29
UK,United Kingdom,2021-01-01,79.46,20.54,17.89
UK,United Kingdom,2021-04-01,89.81,22.69,19.02
UK,United Kingdom,2021-07-01,95.15,24.7,19.61
UK,United Kingdom,2021-10-01,104.42,27.29,19.64
UK,United Kingdom,2022-01-01,111.72,30.17,19.15
